ss start end thetaxN
ss21 0 100000 0.0010918269305485793
ss21 100000 200000 6.557557693364858e-4
ss21 200000 300000 7.467286921552678e-4
ss21 300000 400000 0.0027174651761215545
ss21 400000 500000 0.0019545279312921287
ss21 500000 600000 5.031009610253917e-4
ss21 600000 700000 0.001105156966845127
ss21 700000 800000 9.484117406590129e-4
ss21 800000 900000 0.001130075511096805
ss21 900000 1000000 0.0013262071999591075
ss21 1000000 1100000 0.0015317039128824922
ss21 1100000 1200000 0.0014832631567231306
ss21 1200000 1300000 0.0013074862785276318
ss21 1300000 1400000 0.0012807297890888641
ss21 1400000 1500000 9.565667923428913e-4
ss21 1500000 1600000 6.740945614021582e-4
ss21 1600000 1700000 8.063828373057443e-4
ss21 1700000 1800000 0.0017846646371040774
ss21 1800000 1900000 0.0020933302195581256
ss21 1900000 2000000 0.001332841536197249
ss21 2000000 2100000 8.757037540267415e-4
ss21 2100000 2200000 0.0010144421684640298
ss21 2200000 2300000 0.0013205532923019673
ss21 2300000 2400000 6.970852268508436e-4
ss21 2400000 2500000 8.4192900981064e-4
ss21 2500000 2600000 0.0011592496228527125
ss21 2600000 2700000 9.339811281941086e-4
ss21 2700000 2800000 0.0010693927072057004
ss21 2800000 2900000 4.6365099414494515e-4
ss21 2900000 3000000 3.084713181594323e-4
ss21 3000000 3100000 2.1745074039750386e-4
ss21 3100000 3200000 2.173774313661429e-4
ss21 3200000 3300000 4.019514941066658e-4
ss21 3300000 3400000 6.763163964797779e-4
ss21 3400000 3500000 0.001054591193493146
ss21 3500000 3600000 8.597651130049099e-4
ss21 3600000 3700000 6.981685268604501e-4
ss21 3700000 3800000 4.626784501371311e-4
ss21 3800000 3900000 3.8289328042486555e-4
ss21 3900000 4000000 2.858611760666621e-4
ss21 4000000 4100000 3.477817386316648e-4
ss21 4100000 4200000 3.2132758365414953e-4
ss21 4200000 4300000 3.7495347464879827e-4
ss21 4300000 4400000 4.2848426533142434e-4
ss21 4400000 4500000 3.1515365256638644e-4
ss21 4500000 4600000 2.763427612264704e-4
ss21 4600000 4700000 5.787963610591227e-4
ss21 4700000 4800000 7.926870235789551e-4
ss21 4800000 4900000 0.0010187613014271929
ss21 4900000 5000000 0.0016050917211240239
ss21 5000000 5100000 0.0012224732333503342
ss21 5100000 5200000 0.0012021317213319188
ss21 5200000 5300000 0.0011820310312940846
ss21 5300000 5400000 9.872614758010766e-4
ss21 5400000 5500000 0.0011870145764823123
ss21 5500000 5600000 3.415248482119963e-4
ss21 5600000 5700000 9.172725969061468e-4
ss21 5700000 5800000 6.091850229434739e-4
ss21 5800000 5900000 4.0374719318451595e-4
ss21 5900000 6000000 2.964372686012354e-4
ss21 6000000 6100000 2.644224053614176e-4
ss21 6100000 6200000 6.728725666493806e-4
ss21 6200000 6300000 1.906287721147083e-4
ss21 6300000 6400000 1.6874982507447336e-4
ss21 6400000 6500000 3.6265028049334e-4
ss21 6500000 6600000 3.6161880463435585e-4
ss21 6600000 6700000 4.043743063948505e-4
ss21 6700000 6800000 3.8488201540677104e-4
ss21 6800000 6900000 6.62772565118405e-4
ss21 6900000 7000000 6.450006604681489e-4
ss21 7000000 7100000 3.924454093637746e-4
ss21 7100000 7200000 4.966181630127351e-4
ss21 7200000 7300000 6.692846971969903e-4
ss21 7300000 7400000 7.180177241595743e-4
ss21 7400000 7500000 6.86781719675955e-4
ss21 7500000 7600000 3.901017505750926e-4
ss21 7600000 7700000 2.2996985599147877e-4
ss21 7700000 7800000 4.423891367396142e-4
ss21 7800000 7900000 4.4493385333017237e-4
ss21 7900000 8000000 6.658527858789234e-4
ss21 8000000 8100000 7.750801060257817e-4
ss21 8100000 8200000 5.894129632496818e-4
ss21 8200000 8300000 4.714984200947405e-4
ss21 8300000 8400000 5.328437245510059e-4
ss21 8400000 8500000 3.295221124759917e-4
ss21 8500000 8600000 2.5363889195809396e-4
ss21 8600000 8700000 7.082590469283522e-4
ss21 8700000 8800000 5.460833188216541e-4
ss21 8800000 8900000 8.133405550652435e-4
ss21 8900000 9000000 8.79134921158039e-4
ss21 9000000 9100000 9.016735970672646e-4
ss21 9100000 9200000 5.934138163283799e-4
ss21 9200000 9300000 7.552402885878229e-4
ss21 9300000 9400000 5.644585718475607e-4
ss21 9400000 9500000 4.503674051047847e-4
ss21 9500000 9600000 5.549251069421989e-4
ss21 9600000 9700000 0.0012104223020921088
ss21 9700000 9800000 9.505840410090353e-4
ss21 9800000 9900000 5.06026173333361e-4
ss21 9900000 10000000 5.205169760344903e-4
ss21 10000000 10100000 5.806985827637953e-4
ss21 10100000 10200000 5.434432691815131e-4
ss21 10200000 10300000 3.75847099085023e-4
ss21 10300000 10400000 6.130291514162465e-4
ss21 10400000 10500000 5.277078072264152e-4
ss21 10500000 10600000 5.700855783478651e-4
ss21 10600000 10700000 7.014778949422604e-4
ss21 10700000 10800000 6.286616853945933e-4
