ss start end thetaxN
ss21 0 1000 NA
ss21 1000 2000 7.872432535412853e-8
ss21 2000 3000 8.464981220874035e-7
ss21 3000 4000 8.464981220874036e-7
ss21 4000 5000 8.464981220874036e-7
ss21 5000 6000 8.464981220874036e-7
ss21 6000 7000 8.464981220874036e-7
ss21 7000 8000 8.464981220874036e-7
ss21 8000 9000 8.464981220874036e-7
ss21 9000 10000 8.464981220874036e-7
ss21 10000 11000 8.464981220874035e-7
ss21 11000 12000 1.9307233125082184e-6
ss21 12000 13000 4.288482853582054e-6
ss21 13000 14000 4.288482853582053e-6
ss21 14000 15000 4.288482853582054e-6
ss21 15000 16000 4.288482853582054e-6
ss21 16000 17000 4.288482853582054e-6
ss21 17000 18000 4.288482853582054e-6
ss21 18000 19000 4.288482853582054e-6
ss21 19000 20000 4.288482853582054e-6
ss21 20000 21000 6.623513897994288e-5
ss21 21000 22000 5.659882119908852e-5
ss21 22000 23000 1.4015633685328534e-5
ss21 23000 24000 1.094821340206086e-6
ss21 24000 25000 1.0948213402060958e-6
ss21 25000 26000 1.0784084446132017e-6
ss21 26000 27000 7.851440648683862e-7
ss21 27000 28000 7.851440648683862e-7
ss21 28000 29000 7.851440648683862e-7
ss21 29000 30000 7.851440648683862e-7
ss21 30000 31000 7.851440648683862e-7
ss21 31000 32000 7.851440648683862e-7
ss21 32000 33000 7.851440648683862e-7
ss21 33000 34000 7.851440648683862e-7
ss21 34000 35000 7.851440648683862e-7
ss21 35000 36000 7.851440648683862e-7
ss21 36000 37000 7.851440648683862e-7
ss21 37000 38000 7.851440648683862e-7
ss21 38000 39000 7.851440648683862e-7
ss21 39000 40000 7.851440648683862e-7
ss21 40000 41000 7.851440648683862e-7
ss21 41000 42000 7.851440648683862e-7
ss21 42000 43000 7.851440648683862e-7
ss21 43000 44000 7.851440648683862e-7
ss21 44000 45000 7.851440648683862e-7
ss21 45000 46000 7.851440648683862e-7
ss21 46000 47000 7.851440648683862e-7
ss21 47000 48000 7.851440648683862e-7
ss21 48000 49000 1.4849834286743973e-6
ss21 49000 50000 2.5391274328032244e-6
ss21 50000 51000 2.5391274328032244e-6
ss21 51000 52000 2.5391274328032244e-6
ss21 52000 53000 2.447801361620332e-6
ss21 53000 54000 1.066126284692033e-6
ss21 54000 55000 1.066126284692033e-6
ss21 55000 56000 1.066126284692033e-6
ss21 56000 57000 1.066126284692033e-6
ss21 57000 58000 1.066126284692033e-6
ss21 58000 59000 1.066126284692033e-6
ss21 59000 60000 1.066126284692033e-6
ss21 60000 61000 1.066126284692033e-6
ss21 61000 62000 1.066126284692033e-6
ss21 62000 63000 1.066126284692033e-6
ss21 63000 64000 1.066126284692033e-6
ss21 64000 65000 1.066126284692033e-6
ss21 65000 66000 1.066126284692033e-6
ss21 66000 67000 1.066126284692033e-6
ss21 67000 68000 1.066126284692033e-6
ss21 68000 69000 1.066126284692033e-6
ss21 69000 70000 1.066126284692033e-6
ss21 70000 71000 1.066126284692033e-6
ss21 71000 72000 1.066126284692033e-6
ss21 72000 73000 1.066126284692033e-6
ss21 73000 74000 1.066126284692033e-6
ss21 74000 75000 3.737093214007246e-7
ss21 75000 76000 1.692131198069214e-7
ss21 76000 77000 1.6921311980692215e-7
ss21 77000 78000 1.6921311980692215e-7
ss21 78000 79000 1.6921311980692215e-7
ss21 79000 80000 1.6921311980692215e-7
ss21 80000 81000 1.6921311980692215e-7
ss21 81000 82000 1.6921311980692218e-7
ss21 82000 83000 1.6921311980692215e-7
ss21 83000 84000 1.6921311980692215e-7
ss21 84000 85000 1.6921311980692215e-7
ss21 85000 86000 1.6921311980692215e-7
ss21 86000 87000 1.6921311980692215e-7
ss21 87000 88000 1.6921311980692218e-7
ss21 88000 89000 1.6921311980692215e-7
ss21 89000 90000 1.6921311980692215e-7
ss21 90000 91000 1.6921311980692215e-7
ss21 91000 92000 1.6921311980692215e-7
ss21 92000 93000 1.6921311980692215e-7
ss21 93000 94000 1.6921311980692215e-7
ss21 94000 95000 1.6921311980692215e-7
ss21 95000 96000 1.6921311980692215e-7
ss21 96000 97000 1.6921311980692215e-7
ss21 97000 98000 1.6921311980692215e-7
ss21 98000 99000 1.6921311980692215e-7
ss21 99000 100000 1.6921311980692215e-7
ss21 100000 101000 1.6921311980692215e-7
ss21 101000 102000 1.6921311980693015e-7
ss21 102000 103000 1.6684223515913712e-7
ss21 103000 104000 1.6133642662489696e-7
ss21 104000 105000 1.6133642662489694e-7
ss21 105000 106000 1.6133642662489696e-7
ss21 106000 107000 1.6133642662489696e-7
ss21 107000 108000 1.6133642662489694e-7
ss21 108000 109000 1.6133642662489696e-7
ss21 109000 110000 1.6133642662489696e-7
ss21 110000 111000 1.6133642662489696e-7
ss21 111000 112000 1.6133642662489696e-7
ss21 112000 113000 1.6133642662489696e-7
ss21 113000 114000 1.6133642662489696e-7
ss21 114000 115000 1.6133642662489696e-7
ss21 115000 116000 1.6133642662489696e-7
ss21 116000 117000 1.6133642662489696e-7
ss21 117000 118000 1.6133642662489696e-7
ss21 118000 119000 1.6133642662489694e-7
ss21 119000 120000 1.6133642662489694e-7
ss21 120000 121000 1.6133642662489696e-7
ss21 121000 122000 1.6133642662489696e-7
ss21 122000 123000 1.6133642662489696e-7
ss21 123000 124000 1.6133642662489696e-7
ss21 124000 125000 1.6133642662489696e-7
ss21 125000 126000 1.6133642662489696e-7
ss21 126000 127000 1.6133642662489696e-7
ss21 127000 128000 1.6133642662489696e-7
ss21 128000 129000 1.6133642662489696e-7
ss21 129000 130000 1.6133642662489696e-7
ss21 130000 131000 1.6133642662489696e-7
ss21 131000 132000 1.6133642662489696e-7
ss21 132000 133000 1.6133642662489696e-7
ss21 133000 134000 1.6133642662489696e-7
ss21 134000 135000 1.6133642662489696e-7
ss21 135000 136000 4.4594396678917744e-7
ss21 136000 137000 4.789787705582457e-7
ss21 137000 138000 9.399883696192037e-7
ss21 138000 139000 1.0245548620757716e-6
ss21 139000 140000 1.0245548620757716e-6
ss21 140000 141000 1.0245548620757716e-6
ss21 141000 142000 8.827339142057278e-7
ss21 142000 143000 5.107108480537942e-7
ss21 143000 144000 5.107108480538069e-7
ss21 144000 145000 5.107108480538151e-7
ss21 145000 146000 5.107108480538151e-7
ss21 146000 147000 5.107108480538151e-7
ss21 147000 148000 5.107108480538151e-7
ss21 148000 149000 5.107108480538151e-7
ss21 149000 150000 5.107108480538151e-7
ss21 150000 151000 5.107108480538151e-7
ss21 151000 152000 5.107108480538151e-7
ss21 152000 153000 5.107108480538151e-7
ss21 153000 154000 5.107108480538151e-7
ss21 154000 155000 5.107108480538151e-7
ss21 155000 156000 5.107108480538151e-7
ss21 156000 157000 5.107108480538151e-7
ss21 157000 158000 5.107108480538151e-7
ss21 158000 159000 5.107108480538151e-7
ss21 159000 160000 5.265212677197279e-7
ss21 160000 161000 8.333724738887708e-7
ss21 161000 162000 8.333724738887708e-7
ss21 162000 163000 8.333724738887708e-7
ss21 163000 164000 5.571485831356361e-7
ss21 164000 165000 3.082319971717819e-7
ss21 165000 166000 3.082319971717819e-7
ss21 166000 167000 3.082319971717818e-7
ss21 167000 168000 3.082319971717819e-7
ss21 168000 169000 3.082319971717819e-7
ss21 169000 170000 3.082319971717819e-7
ss21 170000 171000 3.082319971717819e-7
ss21 171000 172000 3.082319971717819e-7
ss21 172000 173000 6.114668811336751e-7
ss21 173000 174000 6.600126050162056e-7
ss21 174000 175000 6.600126050162056e-7
ss21 175000 176000 6.784234624348838e-7
ss21 176000 177000 1.2789265084159395e-6
ss21 177000 178000 1.345339539217457e-6
ss21 178000 179000 1.345339539217457e-6
ss21 179000 180000 1.345339539217457e-6
ss21 180000 181000 1.345339539217457e-6
ss21 181000 182000 1.345339539217457e-6
ss21 182000 183000 1.6433251818508543e-6
ss21 183000 184000 3.928692100795477e-6
ss21 184000 185000 3.6231956555705414e-6
ss21 185000 186000 2.2326827045921884e-6
ss21 186000 187000 7.709740793901394e-7
ss21 187000 188000 3.015883134360945e-7
ss21 188000 189000 3.015883134360945e-7
ss21 189000 190000 3.015883134360945e-7
ss21 190000 191000 2.9402907004575387e-7
ss21 191000 192000 2.829717683761742e-7
ss21 192000 193000 1.982631745235379e-7
ss21 193000 194000 1.7941603017002773e-7
ss21 194000 195000 1.7941603017003742e-7
ss21 195000 196000 1.7941603017003742e-7
ss21 196000 197000 1.7941603017003742e-7
ss21 197000 198000 1.7941603017003742e-7
ss21 198000 199000 1.7941603017003742e-7
ss21 199000 200000 1.7941603017003742e-7
ss21 200000 201000 1.7941603017003742e-7
ss21 201000 202000 1.7941603017003744e-7
ss21 202000 203000 1.7941603017003742e-7
ss21 203000 204000 1.9501317746964894e-7
ss21 204000 205000 3.062221057766351e-7
ss21 205000 206000 3.062221057766351e-7
ss21 206000 207000 4.980305025936467e-7
ss21 207000 208000 5.640290907457368e-7
ss21 208000 209000 5.640290907457368e-7
ss21 209000 210000 5.640290907457368e-7
ss21 210000 211000 5.640290907457368e-7
ss21 211000 212000 6.041710548215724e-7
ss21 212000 213000 7.89545742857173e-7
ss21 213000 214000 1.0129727522510247e-5
ss21 214000 215000 1.5709963921216715e-5
ss21 215000 216000 1.5709963921216715e-5
ss21 216000 217000 1.5709963921216715e-5
ss21 217000 218000 1.4481970166476971e-5
ss21 218000 219000 1.2784796862858964e-6
ss21 219000 220000 5.519173641984825e-7
ss21 220000 221000 5.519173641985349e-7
ss21 221000 222000 5.519173641985532e-7
ss21 222000 223000 5.519173641985532e-7
ss21 223000 224000 5.519173641985532e-7
ss21 224000 225000 5.519173641985532e-7
ss21 225000 226000 5.519173641985532e-7
ss21 226000 227000 5.519173641985532e-7
ss21 227000 228000 1.1541169377860525e-6
ss21 228000 229000 1.4297593082036543e-6
ss21 229000 230000 1.4297593082036543e-6
ss21 230000 231000 1.4297593082036543e-6
ss21 231000 232000 2.2437711389022995e-5
ss21 232000 233000 5.5854505631569835e-5
ss21 233000 234000 1.4206732018857291e-5
ss21 234000 235000 4.455588372439402e-6
ss21 235000 236000 4.467730145606042e-6
ss21 236000 237000 7.320417733971798e-6
ss21 237000 238000 1.1571580527876589e-5
ss21 238000 239000 1.1622249106033193e-5
ss21 239000 240000 1.1664380121570006e-5
ss21 240000 241000 1.1664380121570006e-5
ss21 241000 242000 7.360561230012323e-6
ss21 242000 243000 3.6458108339121754e-6
