ss start end thetaxN
ss21 0 1000000 0.01217925687903946
ss21 1000000 2000000 0.013251063721132364
ss21 2000000 3000000 0.008684459222011122
ss21 3000000 4000000 0.005257053802337255
ss21 4000000 5000000 0.006059379883248188
ss21 5000000 6000000 0.008349078968107096
ss21 6000000 7000000 0.004117972201715851
ss21 7000000 8000000 0.00513639509592431
ss21 8000000 9000000 0.005898814060328585
ss21 9000000 10000000 0.007007628278347007
ss21 10000000 11000000 0.0054526721383578594
ss21 11000000 12000000 0.004007537563731184
ss21 12000000 13000000 0.003920102203019867
ss21 13000000 14000000 0.0025995028453239728
ss21 14000000 15000000 0.008491277713380414
ss21 15000000 16000000 0.01299035508543765
ss21 16000000 17000000 0.014296330349193578
ss21 17000000 18000000 0.023149848281290297
ss21 18000000 19000000 0.02107353778071858
ss21 19000000 20000000 0.013186137738097329
ss21 20000000 21000000 0.028615104491177677
ss21 21000000 22000000 0.04094912176379146
ss21 22000000 23000000 0.016275335442241134
ss21 23000000 23061405 1.3835905308081062e-4
